Identificador;Fecha reporte;Localidad;Barrio;Upz;Dirección;Tipo de afectación;Factor Humano
5390856;1/2/2022;11 Suba;ORQUIDEAS;27 - SUBA;KR 99 158 30;Incendio Estructuras;
5390855;1/2/2022;10 Engativa;LOS CEREZOS;29 - MINUTO DE DIOS;CL 80 86 0;Quemas - Basuras;Si
5390854;1/2/2022;4 San CristÃ³bal;SAN VICENTE ALTO;32 - SAN BLAS;KR 9 ESTE 36G SUR 43;Daño en redes de servicio públicos alcantarillado;Si
5390853;1/2/2022;7 Bosa;NICOLAS ESCOBAR;N/A;AC 59 SUR 77G;Incendio Vehicular - Conato Vehicular;Si
5390852;1/2/2022;1 Usaquen;USAQUEN;N/A;CL 172 KR 8;Incendio Vehicular - Conato Vehicular;Si
5390851;1/2/2022;9 FontibÃ³n;H.B.;76 - FONTIBON SAN PABLO;CL 22D 120 19;Quemas - Basuras;Si
5390850;1/2/2022;11 Suba;SAN JOSE DEL PRADO;24 - NIZA;KR 58 137-18;Hallazgo de materiales peligrosos;Si
5390849;1/2/2022;5 Usme;VEREDA LA REQUILINA;N/A;CL 137 SUR 2 ESTE 2;Quemas - Basuras;Si
5390848;1/2/2022;7 Bosa;OSORIO DIEZ;86 - EL PORVENIR;KR 97C 49C SUR 15;Daño en redes de servicio públicos energía;Si
5390847;1/2/2022;11 Suba;CASA BLANCA;3 - GUAYMARAL;CL 236 72 50;Abejas - Existencia de Panales o Colmenas de Abejas;No
5390846;1/2/2022;10 Engativa;FLORIDA BLANCA;30 - BOYACA REAL;CL 69A 94 8;Daño en redes de servicio públicos energía;Si
5390845;1/2/2022;19 Ciudad BolÃ­var;ARBORIZADORA ALTA;70 - JERUSALEM;CL 73B SUR 38A 61;Daño en redes de servicio públicos alcantarillado;Si
5390844;1/2/2022;16 Puente Aranda;LA ASUNCION;40 - CIUDAD MONTES;CL 2B 32 0;Daño en redes de servicio públicos alcantarillado;Si
5390843;1/2/2022;4 San CristÃ³bal;SANTA RITA SUR ORIENTAL;51 - LOS LIBERTADORES;KR 5 ESTE 51D SUR 40;Conato de Incendio Forestal;Si
5390842;1/2/2022;5 Usme;LAS MERCEDES;58 - COMUNEROS;CALLE 91B SUR 4C 43;Animales Peligrosos;No
5390841;1/2/2022;4 San CristÃ³bal;LA GLORIA;50 - LA GLORIA;KR 1A 43A SUR 4;Daño en redes de servicio públicos energía;Si
5390840;1/2/2022;7 Bosa;ESCOCIA;84 - BOSA OCCIDENTAL;CL 59C SUR 87K 26;Daño en redes de servicio públicos energía;Si
5390839;1/2/2022;5 Usme;SAN GERMAN II;52 - LA FLORA;CALLE 75A SUR 13B ESTE 83;Animales Peligrosos;No
5390838;1/2/2022;10 Engativa;FLORIDA BLANCA;30 - BOYACA REAL;CL 68A 93 30;Colapso de estructura;No
5390837;1/2/2022;9 FontibÃ³n;LA ESPERANZA;114 - MODELIA;CL 22A 72B 48;Quema Forestal;Si
5390836;1/2/2022;11 Suba;GILMAR;18 - BRITALIA;CALLE 162 59 0;Caida de árbol;No
5390835;1/2/2022;10 Engativa;MINUTO DE DIOS;29 - MINUTO DE DIOS;KR 73 81 33;Caida de árbol;No
5390834;1/2/2022;13 Teusaquillo;GRAN AMERICA;107 - QUINTA PAREDES;KR 30A 25B 22;Hallazgo de materiales peligrosos;Si
5390833;1/2/2022;2 Chapinero;SUCRE;99 - CHAPINERO;CL 41 7 0(80);Caida de árbol - Pérdida de verticalidad de árbol;No
5390832;1/2/2022;7 Bosa;LAS MARGARITAS;84 - BOSA OCCIDENTAL;CL 69 BIS A SUR # 89 A - 08;Daño en redes de servicio públicos energía;Si
5390831;1/2/2022;4 San CristÃ³bal;LA GLORIA;50 - LA GLORIA;KR 1A 43A SUR 4;Daño en redes de servicio públicos energía;Si
5390830;1/2/2022;16 Puente Aranda;SAN FRANCISCO;43 - SAN RAFAEL;TRANSVERSAL 47 5F 66;Animales Peligrosos;No
5390829;1/2/2022;4 San CristÃ³bal;A.S.D.;50 - LA GLORIA;KR 14A ESTE 41A SUR 0;Animales Peligrosos;No
5390828;1/2/2022;7 Bosa;ISLANDIA;84 - BOSA OCCIDENTAL;CL 65 SUR 86;Conato de Incendio Forestal;Si
5390827;1/2/2022;19 Ciudad Bolivar;MEISSEN;N/A;CALLE 61 SUR 17 00;Quemas - Basuras;Si
5390826;1/2/2022;6 Tunjuelito;MEXICO I;67 - LUCERO;KR 16 61A SUR 45;Conato de incendio;Si
5390825;1/2/2022;19 Ciudad Bolivar;EL ENSUENO;N/A;AC 68 SUR 70D 71;Rescate en Espacios Confinados - En Ascensores;Si
5390823;1/2/2022;10 Engativa;VILLAS DE GRANADA;73 - GARCES NAVAS;CL 72F 111C 8;Daño en redes de servicio públicos alcantarillado;Si
5390822;1/2/2022;7 Bosa;LA INDEPENDENCIA;84 - BOSA OCCIDENTAL;KR 87I 69A SUR 65;Daño en redes de servicio públicos energía;Si
5390821;1/2/2022;10 Engativa;BOSQUE POPULAR;26 - LAS FERIAS;KR 69 63B 0;Daño en redes de servicio públicos energía;Si
5390820;1/2/2022;19 Ciudad BolÃ­var;EL PENON DEL CORTIJO;69 - ISMAEL PERDOMO;KR 71I 68A SUR 03;Quemas;Si
5390819;1/2/2022;8 Kennedy;LAS BRISAS;82 - PATIO BONITO;KR 91A 42 SUR 50;Daño o falla estructural - Caída de elementos por vendaval;Si
5390818;1/2/2022;5 Usme;BOLONIA;57 - GRAN YOMASA;KR 10 ESTE 76 SUR 25;Conato de Incendio Forestal;Si
5390817;1/2/2022;13 Teusaquillo;ESTRELLA;101 - TEUSAQUILLO;CL 26 24 34;Quemas;Si
5390816;1/2/2022;7 Bosa;EL REMANSO;84 - BOSA OCCIDENTAL;TV 87B 79C SUR 0(51);Caida de árbol - Pérdida de verticalidad de árbol;No
5390815;1/2/2022;9 FontibÃ³n;MODELIA;114 - MODELIA;KR 75 24B 24;Quemas - Basuras;Si
5390814;1/2/2022;12 Barrios Unidos;ALCAZARES;98 - LOS ALCAZARES;KR 28A 71B 44;Daño en redes de servicio públicos acueducto;Si
5390813;1/2/2022;2 Chapinero;SUCRE;99 - CHAPINERO;CL 41 8 70;Caida de árbol - Pérdida de verticalidad de árbol;No
5390812;1/2/2022;7 Bosa;BOSA;85 - BOSA CENTRAL;CL 61 SUR 80H 28;Escape de gas - Daño en redes domiciliarias de servicio públicos gas;Si
5390811;1/2/2022;2 Chapinero;LA PORCIUNCULA;97 - CHICO LAGO;CL 73 13 0;Daño en redes de servicio públicos acueducto;Si
5390810;1/2/2022;11 Suba;CONEJERA;71 - TIBABUYES;KR 145 144C 52;Daño en redes de servicio públicos acueducto;Si
5390809;1/2/2022;19 Ciudad BolÃ­var;ATLANTA;65 - ARBORIZADORA;AK 51 58 SUR 49;Quemas;Si
5390808;1/2/2022;10 Engativa;EL ENCANTO;31 - SANTA CECILIA;CL 64C 74B 00;Caida de árbol;No
5390807;1/2/2022;7 Bosa;El Rincon de la Estancia;N/A;AUTO SUR KR 72;Desechos en via pública;Si
5390806;1/2/2022;12 Barrios Unidos;JORGE ELIECER GAITAN;22 - DOCE DE OCTUBRE;KR 55 79B 48;Daño en redes de servicio públicos energía;Si
5390805;1/2/2022;9 FontibÃ³n;LA ROSITA;115 - CAPELLANIA;KR 100 24F 00;Incendio Estructuras;
5390804;1/2/2022;2 Chapinero;LA PORCIUNCULA;97 - CHICO LAGO;KR 13 73 0;Daño en redes de servicio públicos acueducto;Si
5390803;1/2/2022;13 Teusaquillo;GRAN AMERICA;107 - QUINTA PAREDES;KR 30 24;Daño o falla estructural - Elementos no estructurales en riesgo de caída;Si
5390802;1/2/2022;1 UsaquÃ©n;SANTA BARBARA CENTRAL;16 - SANTA BARBARA;AK 15 116 0;Daño en redes de servicio públicos alcantarillado;Si
5390800;1/2/2022;1 UsaquÃ©n;LAS MARGARITAS;13 - LOS CEDROS;CL 150 20 19;Quemas;Si
5390799;1/2/2022;12 Barrios Unidos;LA AURORA;98 - LOS ALCAZARES;AK 24 74A 31;Daño en redes de servicio públicos acueducto;Si
5390798;1/2/2022;12 Barrios Unidos;PARQUE POPULAR SALITRE;22 - DOCE DE OCTUBRE;KR 62 64 0;Caida de árbol - Pérdida de verticalidad de árbol;No
5390797;1/2/2022;1 UsaquÃ©n;BELMIRA;13 - LOS CEDROS;KR 7C 142 0;Caida de árbol;No
5390796;1/2/2022;5 Usme;LA AURORA;57 - GRAN YOMASA;KR 14L 71B SUR 25;Daño en redes de servicio públicos gas;Si
5390795;1/2/2022;11 Suba;EL SALITRE;27 - SUBA;KR 102 155 50;Conato de incendio;Si
5390794;1/2/2022;8 Kennedy;URBANIZACION INDUSTRIAL LAS DE;45 - CARVAJAL;CL 49 SUR 72B 0;Quemas;Si
5390918;2/2/2022;10 Engativa;GARCES NAVES OCCIDENTAL;73 - GARCES NAVAS;CL 77C 109 0;Conato de incendio;Si
5390917;2/2/2022;16 Puente Aranda;REMANSO;40 - CIUDAD MONTES;KR 36 10A SUR 34;Abejas;No
5390916;2/2/2022;9 FontibÃ³n;SANTANDER;75 - FONTIBON;KR 103 22H 41;Conato de incendio;Si
5390915;2/2/2022;4 San CristÃ³bal;URBANIZACION SIDEL;32 - SAN BLAS;KR 9 ESTE 30C SUR 27;Animales Peligrosos;No
5390914;2/2/2022;4 San CristÃ³bal;SAN VICENTE;32 - SAN BLAS;KR 6 ESTE 32A SUR 17;Caida de árbol;No
5390913;2/2/2022;7 Bosa;JIMENEZ DE QUESADA;85 - BOSA CENTRAL;CL 65 SUR 80 1;Daño en redes de servicio públicos energía;Si
5390911;2/2/2022;7 Bosa;JORGE URIBE BOTERO;84 - BOSA OCCIDENTAL;AK 86 53 SUR 1;Daño en redes de servicio públicos acueducto;Si
5390910;2/2/2022;8 Kennedy;LAS VEGAS DE SANTA ANA;85 - BOSA CENTRAL;CL 57C SUR 81D 1;Daño en redes de servicio públicos gas;Si
5390909;2/2/2022;5 Usme;N.N;61 - CIUDAD USME;CL 137 SUR 3A 24;Quemas;Si
5390907;2/2/2022;18 Rafael Uribe Uribe;SAN AGUSTIN;55 - DIANA TURBAY;CL 49B SUR 5B 64;Daño en redes de servicio públicos energía;Si
5390906;2/2/2022;13 Teusaquillo;EL SALITRE;104 - PARQUE SIMON BOLIVAR - CAN;KR 66B 42 51;Abejas;No
5390905;2/2/2022;1 UsaquÃ©n;SANTA BARBARA OCCIDENTAL;16 - SANTA BARBARA;KR 18 120-00;Caida de árbol - Pérdida de verticalidad de árbol;No
5390904;2/2/2022;2 Chapinero;VILLA ANITA;N/A;KR 3B ESTE 45F 32;Daño en redes de servicio públicos acueducto;Si
5390903;2/2/2022;8 Kennedy;URBANIZACION CLASS;81 - GRAN BRITALIA;KR 80I 57B SUR 50;Daño en redes de servicio públicos gas;Si
5390902;2/2/2022;7 Bosa;SAN BERNARDINO XIX;87 - TINTAL SUR;KR 98B 74 SUR 68;Quemas;Si
5390901;2/2/2022;10 Engativa;BOYACA;30 - BOYACA REAL;CL 71A 72 58;Daño o falla estructural;Si
5390900;2/2/2022;10 Engativa;EL DESCANSO;74 - ENGATIVA;CALLE 64C 126A 60;Daño en redes de servicio públicos acueducto;Si
5390899;2/2/2022;16 Puente Aranda;PRIMAVERA OCCIDENTAL;40 - CIUDAD MONTES;CL 3 40;Quemas - Basuras;Si
5390898;2/2/2022;9 FontibÃ³n;TRABLA;75 - FONTIBON;CL 23A 96J 0(169);Daño en redes de servicio públicos gas;Si
5390897;2/2/2022;1 UsaquÃ©n;VILLAS DEL MEDITERRANEO;12 - TOBERIN;KR 14 157 40;Caida de árbol;No
5390896;2/2/2022;10 Engativa;BOLIVIA;72 - BOLIVIA;CL 83 110 79;Caida de árbol;No
5390895;2/2/2022;4 San Cristobal;PORTAL 20 DE JULIO;N/A;PORTAL 20 DE JULIO;Animales Peligrosos;No
5390894;2/2/2022;9 FontibÃ³n;EL PORTAL;76 - FONTIBON SAN PABLO;CL 17 118 0;Quemas;Si
5390893;2/2/2022;18 Rafael Uribe Uribe;MOLINOS I SECTOR;N/A;KR 5R 48H SUR;Daño en redes de servicio públicos acueducto;Si
5390892;2/2/2022;13 Teusaquillo;SANTA TERESITA;101 - TEUSAQUILLO;CALLE 44A 20 0;Quemas - Basuras;Si
5390891;2/2/2022;13 Teusaquillo;QUINTA PAREDES;111 - PUENTE ARANDA;TV 39A 20A 55;Daño en redes de servicio públicos energía;Si
5390890;2/2/2022;8 Kennedy;LAS VEGAS;82 - PATIO BONITO;KR 89A 42G SUR 50;Daño en redes de servicio públicos gas;Si
5390889;2/2/2022;7 Bosa;VILLA DEL RIO;49 - APOGEO;KR 69 54A SUR 82;Quemas;Si
5390888;2/2/2022;1 UsaquÃ©n;FOLEDO;15 - COUNTRY CLUB;CL 131A 9A 83;Caida de árbol - Caída de ramas;No
5390887;2/2/2022;11 Suba;A.S.D.;27 - SUBA;KR 116 147A 33;Daño en redes de servicio públicos gas;Si
5390886;2/2/2022;7 Bosa;EL REMANSO;84 - BOSA OCCIDENTAL;KR 87B BIS 73B SUR 14;Daño en redes de servicio públicos gas;Si
5390885;2/2/2022;10 Engativa;PARIS;30 - BOYACA REAL;CALLE 80 #92 -27;Escape de gas;Si
5390884;2/2/2022;8 Kennedy;URBANIZACION CIUDAD KENNEDY SU;45 - CARVAJAL;KR 73A BIS 38C SUR 46;Daño en redes de servicio públicos gas;Si
5390883;2/2/2022;5 Usme;ALMIRANTE PADILLA;57 - GRAN YOMASA;KR 8D 75A SUR 51;Daño en redes de servicio públicos acueducto;Si
5390882;2/2/2022;11 Suba;SALITRE I;27 - SUBA;CL 156 92 71;Quemas - Basuras;Si
5390881;2/2/2022;11 Suba;LAGO DE SUBA;28 - EL RINCON;CL 131 102A 18;Daño en redes de servicio públicos acueducto;Si
5390880;2/2/2022;5 Usme;GRANJAS DE SAN PEDRO;57 - GRAN YOMASA;CL 74C SUR 12 0;Daño en redes de servicio públicos energía;Si
5390879;2/2/2022;18 Rafael Uribe Uribe;URBANIZACION AVENIDA DECIMA;36 - SAN JOSE;KR 10A 28 SUR 0;Daño en redes de servicio públicos energía;Si
5390878;2/2/2022;9 FontibÃ³n;EL TINTAL A.S.D.;112 - GRANJAS DE TECHO;KR 81B 19B 50;Daño o falla estructural - Elementos no estructurales en riesgo de caída;Si
5390877;2/2/2022;10 Engativa;LA ESPAÃ‘OLA;29 - MINUTO DE DIOS;KR 86 80 0;Conato de incendio;Si
5390876;2/2/2022;11 Suba;WALESSA;28 - EL RINCON;CL 128 104A 17;Caida de árbol;No
5390875;2/2/2022;8 Kennedy;LOS PANTANOS;79 - CALANDAIMA;KR 93B 34 SUR 97;Caida de árbol - Pérdida de verticalidad de árbol;No
5390874;2/2/2022;10 Engativa;EL DORADO;74 - ENGATIVA;CL 64 128;Caida de árbol;No
5390873;2/2/2022;8 Kennedy;NUEVA MARSELLA;N/A;AC 6 68B 75;Daño en redes de servicio públicos gas;Si
5390872;2/2/2022;1 UsaquÃ©n;EL VERBENAL;9 - VERBENAL;KR 19 185 76;Conato de incendio;Si
5390871;2/2/2022;10 Engativa;GARCES NAVES OCCIDENTAL;73 - GARCES NAVAS;KR 111A 76 38;Daño en redes de servicio públicos energía;Si
5390870;2/2/2022;11 Suba;MAZUREN;19 - EL PRADO;KR 55 151 0(90);Riesgo de colapso estructural;
5390869;2/2/2022;12 Barrios Unidos;SIMON BOLIVAR;22 - DOCE DE OCTUBRE;CL 77 64 43;Daño en redes de servicio públicos acueducto;Si
5390868;2/2/2022;1 Usaquen;ALICANTE I Y II;N/A;AC 170 8G 31;Caida de árbol - Caída de ramas;No
5390867;2/2/2022;2 Chapinero;CHAPINERO NORTE;99 - CHAPINERO;KR 8 65 36;Electrocución - Contacto con redes eléctricas;Si
5390866;2/2/2022;1 UsaquÃ©n;RINCON DEL CHICO;16 - SANTA BARBARA;CL 104 13A 29;Riesgo de colapso estructural;
5390865;2/2/2022;10 Engativa;NORMANDIA;31 - SANTA CECILIA;AK 72 26 0;Derrame de aceite o gasolina en vía pública;Si
5390864;2/2/2022;12 Barrios Unidos;ALCAZARES NORTE;98 - LOS ALCAZARES;CL 73 25 29;Caida de árbol;No
5390863;2/2/2022;19 Ciudad BolÃ­var;NACIONES UNIDAS;67 - LUCERO;KR 18G 74A SUR 75;Quemas - Basuras;Si
5390862;2/2/2022;9 FontibÃ³n;KASANDRA;77 - ZONA FRANCA;CL 15B 136 48;Daño en redes de servicio públicos acueducto;Si
5390861;2/2/2022;12 Barrios Unidos;SAN FERNANDO OCCIDENTAL;22 - DOCE DE OCTUBRE;KR 67 72 13;Daño en redes de servicio públicos acueducto;Si
5390860;2/2/2022;4 San CristÃ³bal;SANTA ANA SUR;33 - SOSIEGO;CL 10A SUR 4 15;Daño en redes de servicio públicos energía;Si
5390859;2/2/2022;9 Fontibon;LA ESPERANZA;N/A;AC 24 72 1;Derrame de aceite o gasolina en vía pública;Si
5390858;2/2/2022;3 Santa Fe;SAMPER;91 - SAGRADO CORAZON;AK 14 33 0;Daño en redes de servicio públicos alcantarillado;Si
5390857;2/2/2022;4 San CristÃ³bal;RAMAJAL;32 - SAN BLAS;CL 36 SUR 10 ESTE;Daño en redes de servicio públicos gas;Si
5390977;3/2/2022;5 Usme;SANTA LIBRADA NORTE;57 - GRAN YOMASA;CL 75 SUR 8 75;Daño en redes de servicio públicos gas;Si
5390976;3/2/2022;2 Chapinero;CHICO NORTE;97 - CHICO LAGO;AK 11 93 27;Colapso de estructura;No
5390975;3/2/2022;11 Suba;SAN JOSE DEL PRADO;19 - EL PRADO;CL 134 51C;Daño en redes de servicio públicos energía;Si
5390974;3/2/2022;2 Chapinero;CHAPINERO CENTRAL;99 - CHAPINERO;KR 13 56 0;Daño en redes de servicio públicos de teléfono;Si
5390972;3/2/2022;5 Usme;LA PICOTA SUR;56 - DANUBIO;CL 64 SUR 1B ESTE 43;Daño en redes de servicio públicos acueducto;Si
5390971;3/2/2022;12 Barrios Unidos;JORGE ELIECER GAITAN;22 - DOCE DE OCTUBRE;KR 50 76 BIS 0;Daño en redes de servicio públicos acueducto;Si
5390970;3/2/2022;8 Kennedy;TINDALITO I;82 - PATIO BONITO;KR 87H 42F SUR 58;Animales Peligrosos;No
5390969;3/2/2022;15 Antonio NariÃ±o;RESTREPO;38 - RESTREPO;KR 14 15 SUR 1;Daño en redes de servicio públicos energía;Si
5390968;3/2/2022;8 Kennedy;PIAMONTE OCCIDENTAL;82 - PATIO BONITO;KR 87H 42F SUR 65;Animales Peligrosos;No
5390967;3/2/2022;10 Engativa;BOLIVIA;72 - BOLIVIA;KR 106 81 57;Caida de árbol - Pérdida de verticalidad de árbol;No
5390966;3/2/2022;2 Chapinero;PARDO RUBIO;90 - PARDO RUBIO;TV 3C 51A 20;Rescate en Espacios Confinados - En Ascensores;Si
5390965;3/2/2022;5 Usme;PORVENIR;N/A;CL 67B SUR 13 60;Conato de incendio;Si
5390964;3/2/2022;5 Usme;TENERIFE II;57 - GRAN YOMASA;CL 78 SUR 14A 5;Daño en redes de servicio públicos acueducto;Si
5390963;3/2/2022;12 Barrios Unidos;SIMON BOLIVAR;22 - DOCE DE OCTUBRE;CL 77 62 0;Caida de árbol;No
5390962;3/2/2022;1 UsaquÃ©n;SAN ANTONIO NORTE;9 - VERBENAL;CL 180 8C 70;Quemas - Basuras;Si
5390961;3/2/2022;18 Rafael Uribe Uribe;LIBERTADOR;39 - QUIROGA;CL 31B SUR 24B 14;Animales Peligrosos;No
5390960;3/2/2022;19 Ciudad BolÃ­var;BRISAS;70 - JERUSALEM;KR 43 74A SUR 19;Animales Peligrosos;No
5390959;3/2/2022;11 Suba;CASA BLANCA;2 - LA ACADEMIA;CL 222 52 88;Animales Peligrosos;No
5390958;3/2/2022;12 Barrios Unidos;LA CASTELLANA;21 - LOS ANDES;AK 45 95 81;Derrame de aceite o gasolina en vía pública;Si
5390957;3/2/2022;19 Ciudad BolÃ­var;I SECTOR;66 - SAN FRANCISCO;KR 41A 63A SUR 40;Conato de incendio;Si
5390956;3/2/2022;7 Bosa;SAN BERNARDINO XVI;87 - TINTAL SUR;CL 69 SUR 95A 41;Daño en redes de servicio públicos gas;Si
5390955;3/2/2022;12 Barrios Unidos;BAQUERO;98 - LOS ALCAZARES;CL 64 20 21;Quemas - Basuras;Si
5390954;3/2/2022;5 Usme;LAS MERCEDES;58 - COMUNEROS;CL 93 SUR 5A 14;Animales Peligrosos;No
5390953;3/2/2022;8 Kennedy;CAMPO ALEGRE;78 - TINTAL NORTE;CL 8A BIS 94 72;Abejas;No
5390952;3/2/2022;13 Teusaquillo;QUESADA;100 - GALERIAS;CL 53 # 14;Animales Peligrosos;No
5390951;3/2/2022;10 Engativa;CIUDAD BACHUE I;29 - MINUTO DE DIOS;CL 89 KR 95;Hallazgo de materiales peligrosos;Si
5390950;3/2/2022;8 Kennedy;EL RUBI;48 - TIMIZA;KR 78L 58 SUR 50;Animales Peligrosos;No
5390949;3/2/2022;19 Ciudad BolÃ­var;EL CHILCAL;66 - SAN FRANCISCO;KR 19C 59A SUR 49;Quemas - Basuras;Si
5390948;3/2/2022;1 UsaquÃ©n;LA CALLEJA;15 - COUNTRY CLUB;KR 20 127A 27;Daño en redes de servicio públicos gas;Si
5390947;3/2/2022;7 Bosa;VILLA DEL RIO;49 - APOGEO;KR 68A 54A SUR 55;Quemas;Si
5390946;3/2/2022;11 Suba;LISBOA;71 - TIBABUYES;CL 134 151A 0;Daño en redes de servicio públicos gas;Si
5390945;3/2/2022;1 UsaquÃ©n;CAOBOS SALAZAR;13 - LOS CEDROS;KR 13 149A 56;Caida de árbol;No
5390944;3/2/2022;16 Puente Aranda;PENSILVANIA;108 - ZONA INDUSTRIAL;KR 35 10 35;Animales Peligrosos;No
5390943;3/2/2022;8 Kennedy;URBANIZACION CASTILLA;46 - CASTILLA;CL 7B 79 61;Abejas;No
5390942;3/2/2022;11 Suba;LAGO DE SUBA;28 - EL RINCON;CL 130 C 102A 03;Hallazgo de materiales peligrosos;Si
5390941;3/2/2022;2 Chapinero;LA PORCIUNCULA;97 - CHICO LAGO;CL 74 12 05;Daño en redes de servicio públicos energía;Si
5390940;3/2/2022;9 FontibÃ³n;JERICO;76 - FONTIBON SAN PABLO;KR 126 17F 80;Quemas - Basuras;Si
5390939;3/2/2022;1 UsaquÃ©n;SAN JOSE DE USAQUEN;9 - VERBENAL;CL 181C 13 54;Conato de incendio;Si
5390938;3/2/2022;3 Santa Fe;LA PENA;96 - LOURDES;CL 6 6A ESTE 0;Quemas - Basuras;Si
5390937;3/2/2022;8 Kennedy;LOS PANTANOS;79 - CALANDAIMA;KR 98 2 32;Quemas - Basuras;Si
5390936;3/2/2022;19 Ciudad BolÃ­var;SADEC DOS;69 - ISMAEL PERDOMO;KR 71D 68 SUR 00;Quemas;Si
5390935;3/2/2022;10 Engativa;VILLA DORADO NORTE;74 - ENGATIVA;CL 65B 108 0;Daño en redes de servicio públicos alcantarillado;Si
5390934;3/2/2022;11 Suba;SANTA CECILIA;71 - TIBABUYES;KR 156C 131A 29;Quemas - Basuras;Si
5390933;3/2/2022;16 Puente Aranda;CENTRO INDUSTRIAL;111 - PUENTE ARANDA;CL 18 65B 20;Daño en redes de servicio públicos de teléfono;Si
5390932;3/2/2022;13 Teusaquillo;CIUDAD SALITRE SURORIENTAL;N/A;AC 24 63 1;Caida de árbol - Pérdida de verticalidad de árbol;No
5390931;3/2/2022;12 Barrios Unidos;ALCAZARES;98 - LOS ALCAZARES;CL 71 27C 0;Incendio Estructuras;
5390930;3/2/2022;9 FontibÃ³n;CAPELLANIA;114 - MODELIA;KR 89 22 00;Escape de gas - Daño en redes domiciliarias de servicio públicos gas;Si
5390929;3/2/2022;19 Ciudad BolÃ­var;SADEC UNO;69 - ISMAEL PERDOMO;CL 76 BIS A SUR 72;Quema Forestal;Si
5390928;3/2/2022;18 Rafael Uribe Uribe;GUSTAVO RESTREPO;36 - SAN JOSE;KR 12 BIS 27 SUR 9;Daño o falla estructural - Elementos no estructurales en riesgo de caída;Si
5390927;3/2/2022;8 Kennedy;PARQUE VILLA DEL RIO;N/A;AV VILLAVICENCIO 45;Quemas;Si
5390926;3/2/2022;7 Bosa;A.S.D.;86 - EL PORVENIR;CL 56F SUR 108 22;Quemas;Si
5390925;3/2/2022;16 Puente Aranda;LA PRADERA;43 - SAN RAFAEL;KR 64 4 3;Animales Peligrosos;No
5390924;3/2/2022;10 Engativa;BOLIVIA;72 - BOLIVIA;KR 106A 81 51;Hallazgo de materiales peligrosos;Si
5390923;3/2/2022;4 San CristÃ³bal;SANTA RITA SUR ORIENTAL II ETAPA;51 - LOS LIBERTADORES;CL 52 SUR 4B ESTE 15;Daño en redes de servicio públicos acueducto;Si
5390922;3/2/2022;2 Chapinero;CHICO NORTE - URB. LA GRAN VIA;N/A;AC 100 7 1;Derrame de aceite o gasolina en vía pública;Si
5390921;3/2/2022;1 UsaquÃ©n;CEDRITOS;13 - LOS CEDROS;KR 12B 140 50;Escape de gas - Daño en redes domiciliarias de servicio públicos gas;Si
5390920;3/2/2022;7 Bosa;OLARTE;N/A;AV VILLVICENCIO;Quemas;Si
5390919;3/2/2022;3 Santa Fe;GIRARDOT;96 - LOURDES;KR 3 1C 18;Quemas;Si
5391020;4/2/2022;11 Suba;LA GAITANA;71 - TIBABUYES;calle 132 D transversal 126;Hallazgo de materiales peligrosos;Si
5391019;4/2/2022;11 Suba;EL SALITRE;27 - SUBA;KR 99 157 43;Conato de incendio;Si
5391018;4/2/2022;11 Suba;URBANIZACION CORDOBA NIZA;24 - NIZA;KR 57 119A 60;Daño o falla estructural;Si
5391016;4/2/2022;5 Usme;ALFONSO LOPEZ;59 - ALFONSO LOPEZ;KR 5 ESTE 106A SUR 24;Daño en redes de servicio públicos gas;Si
5391015;4/2/2022;16 Puente Aranda;COMUNEROS;40 - CIUDAD MONTES;KR 33 5 75;Daño o falla estructural;Si
5391014;4/2/2022;1 UsaquÃ©n;SANTA BIBIANA;16 - SANTA BARBARA;CL 100 19A 0(67);Daño en redes de servicio públicos gas;Si
5391013;4/2/2022;10 Engativa;LA ISABELA;116 - ALAMOS;CL 65 BIS 88 42;Daño en redes de servicio públicos energía;Si
5391012;4/2/2022;5 Usme;TENERIFE II;57 - GRAN YOMASA;KR 14A BIS 78 SUR 66;Animales Peligrosos;No
5391011;4/2/2022;9 FontibÃ³n;KASANDRA;77 - ZONA FRANCA;CL 17 136 1(18);Daño en redes de servicio públicos gas;Si
5391010;4/2/2022;11 Suba;URBANIZACION CORDOBA NIZA;24 - NIZA;KR 57 119A 60;Rescate en Espacios Confinados - En Ascensores;Si
5391009;4/2/2022;8 Kennedy;SUPER MANZANA 8;47 - KENNEDY CENTRAL;CL 41 SUR TV 78;Colapso de estructura;No
5391008;4/2/2022;12 Barrios Unidos;POLO CLUB;98 - LOS ALCAZARES;CL 80 24;Daño en redes de servicio públicos energía;Si
5391007;4/2/2022;18 Rafael Uribe Uribe;GRANJAS SAN PABLO;53 - MARCO FIDEL SUAREZ;CL 43 SUR 11B 74;Daño en redes de servicio públicos energía;Si
5391006;4/2/2022;1 UsaquÃ©n;SAN CRISTOBAL NORTE;11 - SAN CRISTOBAL NORTE;CL 162 8F 61;Daño en redes de servicio públicos acueducto;Si
5391005;4/2/2022;Distrito Capital;N/A;N/A;CL 40 29D 31 ESTE;Daño en redes de servicio públicos energía;Si
5391004;4/2/2022;9 FontibÃ³n;VILLEMAR FONTIBON;75 - FONTIBON;CL 17A 96B 61;Caida de árbol;No
5391003;4/2/2022;17 La Candelaria;LA CATEDRAL;94 - LA CANDELARIA;CL 12F 3 37;Colapso de estructura;No
